timestamp,close,high,low,open,volume,log_returns,volatility_5,momentum_5,market_regime,signal
2010-07-09,1.159999966621399,1.1933330297470093,1.1033329963684082,1.1720000505447388,60759000,-0.003442402460710787,0.10995999087814781,-0.04655048601513332,,
2010-07-12,1.136667013168335,1.2046669721603394,1.1333329677581787,1.196666955947876,33037500,-0.02031966887617015,0.09842743890523897,-0.023751949622467405,,
2010-07-13,1.2093329429626465,1.2426669597625732,1.1266670227050781,1.1593329906463623,40201500,0.061968613319029066,0.05432782125780993,0.023735784762367575,,
2010-07-14,1.3226670026779175,1.3433330059051514,1.184000015258789,1.1959999799728394,62928000,0.08958123400877288,0.0545472909967652,0.04553813809972696,,
2010-07-15,1.3259999752044678,1.4333330392837524,1.2666670083999634,1.329332947731018,56097000,0.002516718268925495,0.04717024281032176,0.0260608988519693,,
2010-07-16,1.3760000467300415,1.4199999570846558,1.3366669416427612,1.3799999952316284,39319500,0.03701390040776307,0.0442219068831166,0.03415215942566407,,
2010-07-19,1.4606670141220093,1.4833329916000366,1.3946670293807983,1.4246670007705688,37297500,0.05971241690769228,0.03250933683780749,0.050158576582436554,,
2010-07-20,1.3533329963684082,1.4566669464111328,1.3366669416427612,1.4566669464111328,27379500,-0.07632275442299001,0.06375848487324855,0.02250030303403274,1.0,0.0
2010-07-21,1.3480000495910645,1.3933329582214355,1.2999999523162842,1.3773330450057983,18787500,-0.003948386677901586,0.05174625945711135,0.003794378896697849,1.0,0.0
2010-07-22,1.399999976158142,1.4166669845581055,1.3580000400543213,1.3666670322418213,14367000,0.03785017031257625,0.05389613951116677,0.010861069305428,1.0,0.0
2010-07-23,1.4193329811096191,1.4373329877853394,1.4040000438690186,1.4126670360565186,9804000,0.013714810050456133,0.052045122624760874,0.006201251233966613,1.0,0.0
2010-07-26,1.3966670036315918,1.4333330392837524,1.3533329963684082,1.4333330392837524,13833000,-0.016098343112193245,0.042776021160778326,-0.00896090077001049,1.0,0.0
2010-07-27,1.3700000047683716,1.4119999408721924,1.3506669998168945,1.3940000534057617,9295500,-0.01927794320898038,0.02364926999519804,0.0024480614727914345,1.0,0.0
2010-07-28,1.3813329935073853,1.3933329582214355,1.3673330545425415,1.3700000047683716,7008000,0.008238226955451972,0.023452402021037516,0.004885384199462146,1.0,0.0
2010-07-29,1.3566670417785645,1.3919999599456787,1.3333330154418945,1.3846670389175415,9240000,-0.018017982994436584,0.01591930931898018,-0.006288246461940421,0.0,0.0
2010-07-30,1.329332947731018,1.3626669645309448,1.303333044052124,1.3466670513153076,6403500,-0.020353713922124282,0.012034116883622789,-0.013101951256456504,0.0,0.0
2010-08-02,1.3946670293807983,1.3980000019073486,1.3553329706192017,1.3666670322418213,10771500,0.04797842480726451,0.02949553955772986,-0.00028659767256495325,0.0,0.0
2010-08-03,1.463333010673523,1.463333010673523,1.3880000114440918,1.399999976158142,18457500,0.04806101975573991,0.03372632923356704,0.013181194920379105,0.0,0.0
2010-08-04,1.4173330068588257,1.4786670207977295,1.3899999856948853,1.463333010673523,13695000,-0.03193977645512355,0.03949201143344824,0.005145594238264,0.0,0.0
2010-08-05,1.363332986831665,1.4366669654846191,1.3366669416427612,1.4359999895095825,11943000,-0.03884451423850342,0.043446246446295245,0.0009802879894506317,0.0,0.0
2010-08-06,1.305999994277954,1.343999981880188,1.301332950592041,1.340000033378601,11128500,-0.04296340075597828,0.0472333935800085,-0.003541649377320167,3.0,-1.0
2010-08-09,1.3066669702529907,1.3320000171661377,1.2966669797897339,1.3266669511795044,12190500,0.0005105709978198497,0.038195015686816325,-0.013035220139209098,3.0,-1.0
